horizontal_coordinate vertical_coordinate response covariate_01 covariate_02
0.07 2.56 -1.89 2.63 26.85
0.23 0.82 -0.14 1.05 1.5
0.65 0.76 0.11 1.41 1.06
0.63 1.17 -0.67 1.81 4.66
0.05 3.03 -2.35 3.09 37.84
0.86 2.64 -3.83 3.5 28.62
0.29 2.69 -2.47 2.99 29.7
0 2.32 -1.62 2.32 21.93
0.27 2.13 -1.73 2.41 18.36
0.35 1.61 -1.2 1.96 9.97
0.51 2.11 -2.18 2.61 17.83
0.3 3.06 -2.94 3.36 38.58
0.51 2.11 -2.19 2.62 17.91
0.92 1.97 -2.28 2.89 15.47
0.24 1.46 -0.88 1.7 7.98
0.43 0.83 -0.15 1.26 1.57
0.44 1.97 -1.83 2.4 15.44
0.64 2.46 -3.08 3.1 24.73
0.34 2.82 -2.78 3.17 32.63
0.86 2.75 -4.08 3.61 31.11
0.28 2.34 -2 2.62 22.29
0.91 2.68 -3.96 3.59 29.4
0.59 2.11 -2.36 2.7 17.94
0.71 1.13 -0.55 1.84 4.21
0.85 1.54 -1.33 2.39 8.99
0.75 2.59 -3.56 3.34 27.45
0.67 1.45 -1.21 2.12 7.92
0.84 2.46 -3.41 3.3 24.73
0.92 2.73 -4.08 3.64 30.43
0.23 1.84 -1.31 2.07 13.44
0.19 2.59 -2.08 2.78 27.46
0.5 0.84 -0.15 1.34 1.67
0.92 3.19 -5.18 4.11 41.88
0.96 2.09 -2.56 3.05 17.62
0.6 3.07 -4.09 3.67 38.69
0.73 1.37 -1.04 2.1 6.93
0.17 1.12 -0.46 1.29 4.17
0.22 2.83 -2.43 3.05 32.89
0.78 1.6 -1.51 2.38 9.9
0.56 1.11 -0.58 1.67 4.06
0.92 2.71 -4.04 3.63 30.04
0.89 1.63 -1.51 2.52 10.29
0.42 1.47 -1.07 1.89 8.1
0.29 0.79 -0.1 1.08 1.26
0.3 1.85 -1.43 2.15 13.6
0.28 1.82 -1.35 2.09 13.02
0.74 2.97 -4.34 3.71 36.25
0.26 1.47 -0.91 1.72 8.09
0.68 2.22 -2.7 2.9 19.94
0.6 1.04 -0.44 1.64 3.32
0.9 2.21 -2.85 3.11 19.68
0.54 1.09 -0.55 1.63 3.88
0.22 1.66 -1.09 1.88 10.69
0.58 1.68 -1.58 2.26 11.01
0.05 1.49 -0.8 1.55 8.43
0.89 3.2 -5.14 4.08 42.04
0.66 2.55 -3.3 3.21 26.52
0.02 2.92 -2.23 2.95 35.1
0.54 2.7 -3.25 3.24 29.93
0.32 2.35 -2.11 2.68 22.51
0.85 1.69 -1.67 2.54 11.09
0.24 2.61 -2.22 2.85 27.83
0.59 1.81 -1.83 2.41 12.99
0.87 1.39 -0.98 2.26 7.16
0.25 1.45 -0.88 1.7 7.88
0.92 3.19 -5.19 4.11 41.93
0.23 1.03 -0.38 1.26 3.28
0.74 1.42 -1.14 2.16 7.54
0.15 2.58 -2.01 2.73 27.25
0.6 2.64 -3.31 3.24 28.42
0.65 1.26 -0.83 1.91 5.56
0.61 2.51 -3.11 3.12 25.71
0.61 2.68 -3.4 3.29 29.41
0.91 1.12 -0.28 2.03 4.11
0.08 2.08 -1.4 2.16 17.38
0.65 2.39 -2.96 3.03 23.15
0.39 2.69 -2.74 3.08 29.65
0.86 2.94 -4.51 3.8 35.46
0.98 1.03 0.08 2.02 3.31
